Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
Section 1: Typical Glassware / plasticware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beakers, Polypropylene (plastic)",50 mL,,,0,,,,,,,,,-,,,,,0,,,,,5,,,,,0,,,,,27,,,,,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,100 mL,,,0,,,,,,,,,-,,,,,0,,,,,20,,,,,0,,,,,2,,,,,7,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,150 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,250 mL,,,0,,,,,,,CAB #2,,1,,,,,0,,,,,27,,,,,0,,,,,14,,,,,7,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,400 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,500 mL,,,0,,,,,,,,,-,,,Cabinet 10,,15,,,,,1,,,,,0,,,,,20,,,,,6,,,,,,,,,,0,,,C3-A,,2,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,600 mL,,,0,,,,,,,CAB #2,,8,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,1000 mL,,,0,,,,,,,CAB #2,,8,,,Cabinet 10,,1,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,C3-A,,10,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,2000 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,C3-A,,1,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,4000 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,C3-A,,4,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erlenmeyer Flasks, glass",50 mL,,,3,back cabinet on left wall,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,3,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,125 mL,,,3,back cabinet on left wall,,,,,,CAB #2,,20,,,Cabinet 10,,4,,,,,0,,,,,0,,,,,,,,,,21,,,,,,,,,,7,,,,,24,,,,,,,,,,,,,,,,,,cab #5,15,15,,,,,,
,250 mL,,,16,back cabinet on left wall,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,23,,,,,,,,,,30,,,,,9,,,,,,,,,,0,,,,,,,,cab #5,15,15,,,,,,
,300 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,500 mL,,,0,,,,,,,,,-,,,,,0,,,,,5,,,,,0,,,,,,,,,,18,,,,,,,,,,3,,,,,8,,,,,,,,,,0,,,,,,,,cab #5,15,17,,,,,,
,1000 mL,,,12,back cabinet on left wall,,,,,,,,-,,,,,0,,,,,4,,,,,0,,,,,2,,,,,16,,,,,,,,,,11,,,,,15,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,2000 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,3000 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,4000mL,,,1,lower cabinet along back wall,,,,,,,,-,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,
"Erlenmeyer Flasks, plastic ",125 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,, ,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,250 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,C4-B,,8,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,500 mL,,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,5,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,1000 mL,,,5,back cabinet on left wall,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,3,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,2000 mL,,,2,back cabinet on left wall,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
,3000 mL,,,2,back cabinet on left wall,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,
