,Scroll Across to find Room #   →→,1109,,,,1111,,,,1115,,,,1306,,,,1419,,,,2107,,,,2109,,,,2111,,,,2115,,,
Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2025,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2025,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
,degree scale,E1,,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,spring scale,E1,,33,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Inclined plane,E1,,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,pulley block,E1,,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,rolling mass,E1,,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,friction block,E1,,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"center of mass tool, steel plate",E1,,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,torque wheel,D1,,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,plastic attachment for torque wheel,D1,,127,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"mass hangers, blue plastic, 2 on ring",E1,,20,-ISH,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Mass hangers, spare",D1,,200,APPROXIMATELY!,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,spare spools of thread,E1,,50,APPROXIMATELY!,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,balance beam,D1,,18,AND SEVERAL BROKEN,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ticker-tape timers, electric",,D1,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,cab #2,16,16,,,,,
"ticker tape rolls, spare",,D1,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasco Dynamics Track Systems:,"Dynamics track, aluminum, 1.2 m",J0,,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Leveling foot,F2,,5,PLUS 3 ON TRACKS,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,end stop attachment,F2,,10,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Photogate bracket,F2,,22,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Angle indicator,F2,,10,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,ring stand pivot clamp,F2,,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,friction cart accessory,F3,,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,springs,F2,,23,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,cart mass (long black mass),D2,,13,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,super pulley (no clamp),F2,,22,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Pasco Collision cart (aluminum/black),D2,,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Pasco dynamics cart (aluminum/black)--with plunger,D2,,9,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Friction Blocks for carts,F2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ballistics Cart Accessory, Pasco",,F2,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
"Fan Cart, Pasco",,E2,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
"Visual Accelerometer, Pasco",,F2,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernier Dynamics Track System:,"Dynamics tracks, black steel, 1.2 m",J0,,22,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,leveling feet,F2,,46,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Adjustable end stop,F2,,25,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Rod Clamp,F2,,26,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Motion detector bracket,F2,,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,photogate support (w/bolt and nut),F2,,83,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Pulley bracket,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Cart masses (short black mass),D2,,31,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Vernier collision cart (green/black),D3,,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Vernier dynamics cart (green/black--with plunger),D3,,22,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Vernier GO-direct sensor cart w/plunger (teal),D3,,27,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Vernier GO-direct sensor cart w/plunger (yellow),D3,,27,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Dynamics tracks, silver steel, with Go Direct accessory tape",J0,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Go-directed dynamics tracks leveling feet,J0,,10,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Vernier GO-direct cart USB cable,D3,,54,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Vernier GO-direct accessory bumper (hoops), each",D3,,54,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Vernier GO-direct magnetic tab inserts (2 needed per cart), set/2",,,54,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Vernier GO-direct magnetic button accessory (for use with force sensor collisions), 1 per cart",,,54,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,GO-direct cart masses (shiny steel hexagonal cylinders),,,108,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernier Go direct spare Parts:,Spare hook attachments,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Spare anti-roll pegs,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Rubber knob bumper attachment,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernier Photogates,,F2,,50,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Vernier Picket Fences,,F2,,40,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasco Smart Timer sets:,Smart Timer box,F3,,21,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Adapter plugs for Smart Timers,F3,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Accessory Photogate with cable,F3,,42,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Attachment screw, small",F3,,17,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Attachment screw, large",F3,,41,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Spare cable for photogate,F3,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Accessory photogate stand, base",F3,,44,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Accessory photogate stand, rod",F3,,44,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Pasco Picket Fences,F2,,44,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasco spare parts kit,miscellaneous contents,F3,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tumble Buggy (constant velocity vehicle),,E2,,34,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform Circular motion lab kit:,PVC tube,C3,,12,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Alligator clip,C3,,100,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Fishing line, spool",C3,,1.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Flying Pig,,C1,,11,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Magnetic Hook,,C1,,14,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Gyroscope (small),,,,2,PHYSICS CLUB CABINET,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Hover Puck,,C1,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inertial Balance,,C2,,28,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
c-clamp,,C2,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Orange Cones,,C3,,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mini-Etch-a-Sketch,,G1,,32,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
"Newton's Cradle (""Balance Ball"")",,E2,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Cartesian Divers kit,,,,1,set given to physics club,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Pasco Roller coaster set (complete),,f5,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poppers, large",,G1,,2,+ 1 Pasco DEMO,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
"Poppers, small",,G1,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Frog-hoppers,,G1,,17,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
astro-blaster,,G1,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics Metal Stand Pieces:,Base (flat aluminum w/ holes),E4,,9,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"pole, long, w/threads",E4,,18,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"pole, long, no threads",E4,,9,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"short metal post, no threads",,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,short metal post w/threads,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,base pole holder attachment (black),,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"vertical, through-the-base posts, short",E4,,12,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,90-degree post attachment,,,29,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,attachment w/hook,E4,,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,single pulley,,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,double pulley,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Track, 2.0 m",,E2,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Air track blower,,E2,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Supplies for air track (box),,E2,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,,,,,,,,,,,,,,,,, ,, ,,,,,,,,,,,,,,,,,
,Blue trays with hosing,,,,,,,,,,,,,,,,,3A-U,,10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscillations and Waves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuning forks:,128 Hz-C,H2,5,4,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,256 Hz-C,H2,20,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,288 Hz-D,H2,20,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,320 Hz-E,H2,20,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,341.3 Hz-F,H2,20,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,384 Hz-G,H2,20,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,426.6 Hz-A,H2,20,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,480 Hz-B,H2,19,19,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,512 Hz-C',H2,18,18,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,1024 Hz-C'',H2,16,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Mounted tuning forks (resonance boxes),H3,7,7,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Tuning Fork actuator/hammer,"Rubber hammer, pink",H3,12,12,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Rubber hammer, black",H3,2,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Tuning fork actuator, green (or pink)",H3,20,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Dual head hammer for tuning forks,H3,8,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resoance Tubes:,"Glass, graduated scale ",H1,,17,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Glass, non-calibrated",,,,counted with graduated scale; all have ruler on them somehow,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"extra measuring tape, roll",H2,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Large-scale closed pipe resonance demo tool,by A,,1,in back by tracks,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Open Speaker,H5,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CPO Sound and Wave Generator Kit,H5,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pasco wave generator set,I1,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Braided physics string -- green/white,H3,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,"Braided cord, bright yellow, spool",H3,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"elastic cord, large spool",,,,missing?,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standing wave demonstrator (for hand-held drill),H4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Interference tubes demonstrator,H4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Auditory Demo CD,H4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,train whistle,H4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,random guitar strings,H4,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Equal length springs, set/5, Pasco",H5,,7,need 2 more sets,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,S hooks,H5,,21,"1/2"" size; need more",,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miscellaneous Hooke's Law springs,H5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,"Small, low k, d=1 cm, length 3.2 cm",,,8,some overstretched,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Large, high k, d=1 cm, length 4 cm",,,13,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"X-Large, high k, d=2cm, length 5.5 cm",,,7,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"skinny, high k, d=0.5 cm, length 3.5 cm",,,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Small, low k, d=0.8 cm, length =2.5 cm",,,6,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"small, low k, d=0.7 cm, length 2.7 cm",,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Longitudinal wave demo spring,H5,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Doppler rocket,H5,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Transverse wave generator, 3 piece set",D0,,2,1 of the transition pieces; 2 each of the long and short bar demonstrators,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Trans. Wave generator Clamp for fixed end,E1,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Trans. Wave generator Damping dish/clamp,,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Attachment screws for trans. Wave generator,,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Super Slinky with stand,F4,,34,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Large slinky on white wood stand,F4,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripple Tanks,"Ripple tank, older, brown box, 4 legs",I1,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Ripple Generator,G4,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Ripple Tank Halogen light source,G4,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Demonstration mirror/screen attachment,I0,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Accessories for older ripple tank:,plane wave actuator,L7,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,eye dropper,,,6,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,refraction plate: convex,,,4,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,refraction plate: concave,,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,refraction plate: triangle,,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Curved reflector,,,4,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"straight reflector barrier, long",,,10,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"straight reflector barrier, medium",,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"straight reflector barrier, short",,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"point source actuator, large",,,15,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"point source actuator, small",,,15,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ripple tank, newer, white box",Each box should contain the following:,,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,ripple tank with 3 legs,,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,light source (in box and spares),,,19,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,ripple generator (in box and spares),,,19,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,power cords,,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,beaker/measuring cup,,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,post for light source,,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,demo mirror/screen attachment,,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Accessory Box,,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,plane wave actuator,,,16,3 spare in L7,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,water dropper,,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,refraction plate: convex,,,16,3 spare in L7,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,refraction plate: concave,,,16,3 spare in L7,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,refraction plate: trapezoidal,,,16,3 spare in L7,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,curved reflector,,,16,3 spare in L7,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"straight reflector barrier, long",,,33,6 spare in L7,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"straight reflector barrier, short",,,16,3 spare in L7,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"straight reflector barrier, medium",,,16,3 spare in L7,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"point source actuator, large",,,16,"sets, not individual more in L7",,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"point source actuator, small",,,16,"sets, not individual more in L7",,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Squeegee,,,19,3 spares,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
6-outlet surge protector,,under white microwave,,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand-held strobe lights,,,,0,maybe moved to 2109 for surplus?,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
power cords for hand-held strobe lights,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Large Rod Stand, base",,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"support rod, 120 cm",,,10,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"support rod, 90 cm",,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"support rod, 45 cm",,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matter Model kit,,,,0,given to 1419?,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
"Wooden polarizer demonstrator, set/2 pieces",,G3,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pasco Optics Bench,,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
Optics bench accessories:,"convex Lens, +200 mm",G2,,9,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"convex lens, +100 mm",G2,,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"convex lens, +250 mm",G2,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"concave lens, -150 mm",G2,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Accessory holder,,,22,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Polarizers, set of 2",,,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,neutral density filter,G2,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,photometer,G2,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,single slit accessory,G2,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,multiple slit accessory,G2,,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,White screen,,,9,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Light Source, old style",H4,9,9,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,"Light source, newer style",L3/4,,48,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Adapter plugs for light sources and lasers,L4,,48,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,extra halogen bulbs,H4,2,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,Optics Caliper,G2,,10,w diode lasers,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasers:,"Diode laser, red",G2,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,
